companion: コンパニオン
dear: 親愛な
climb: 登る
slide: 滑り台
get: 取得する
style: スタイル
vegetable: 野菜
must: 必須
have: 持ってる
captain: キャプテン
approval: 承認
wake: 目覚め
good: 良い
soft: 柔らかい
liter: リットル
current: 現在
stream: ストリーム
succeed: 成功する
youth: 若者
popular: 人気
by: 〜によって
possibility: 可能性
fifth: 五番目
order: 注文
mile: マイル
beauty: 美しさ
leather: レザー
pointed: 尖った
ahead: 前方に
season: シーズン
conversation: 会話
mark: マーク
clockwork: 時計工事
marriage: 結婚
brave: 勇敢な
finish: 仕上げ
sorry: ごめんなさい
egg: 卵
nerve: 神経
payment: 支払い
dig: 掘る
secrecy: 秘密
adjective: 形容詞
obedient: 従順な
yourself: あなた自身
northern: 北部
smooth: 滑らかな
gun: 銃
method: 方法
no one: 誰も
write: 書きます
improvement: 改善
practice: 練習
direction: 方向
fond: 好きな人
fasten: 締め付ける
reach: リーチ
crop: 作物
hasty: 急いで
light: 光
comb: 櫛
afraid: 恐れ
hide: 隠す
scientist: 科学者
thousand: 千
truth: 真実
neither: どちらも
autumn: 秋
weak: 弱い
gray: グレー
address: 住所
oxygen: 酸素
its: その
think: 思う
really: 本当に
turn: 順番
enclose: 同封する
fellow: 仲間
explosive: 爆発物
air: 空気
bend: 曲げる
mad: 怒っている
recent: 最近
pressure: 圧力
subtract: 減算
drum: ドラム
table: 表
contract: 契約する
pale: 淡い
floor: 床
seem: 思われる
respectful: 尊敬する
scale: 規模
perfect: 完璧な
neat: きちんとした
description: 説明
show: ショー
music: 音楽
tidy: きちんとした
explode: 爆発する
ball: 玉
new: 新しい
continuous: 連続
fever: 熱
pole: ポール
push: 押す
our: 我々の
rule: ルール
with: 〜と
painful: 痛い
cry: 泣く
best: ベスト
mistake: 間違い
town: タウン
print: 印刷する
dinner: ディナー
pump: ポンプ
humorous: ユーモラスな
rest: 残り
fox: 狐
influence: 影響
intention: 意図
parallel: 平行
experience: 経験
lady: レディ
hungry: 空腹
clean: クリーン
wind: 風
variety: 品種
cat: ネコ
cut: カット
guide: ガイド
probability: 確率
engine: エンジン
for: ために
start: 開始
seed: シード
hammer: ハンマー
need: 必要
limb: 手足
decrease: 減少
moon: 月
radio: 無線
old-fashioned: 古風な
declaration: 宣言
less: もっと少なく
envelope: エンベロープ
stiff: 堅い
bite: 一口
forget: 忘れる
together: 一緒に
nature: 自然
lead: 鉛
would: 〜する
bird: 鳥
sweep: スイープ
cattle: 牛
along: 一緒に
spin: スピン
god: 神
month: 月
guilt: 罪悪感
age: 年齢
desire: 慾望
weigh: 体重を計る
man: おとこ
admiration: 感嘆
near: 近く
polite: 丁寧
excuse: 言い訳
stem: 幹
mixture: 混合
admire: 賞賛する
either: どちらか
blade: 刃
especially: 特に
raw: 生
band: バンド
club: クラブ
faith: 信仰
under: 下
among: 中
feeling: 感じ
advance: 前進
ago: 前
describe: 説明する
build: ビルドする
cool: クール
many: たくさんの
produce: 作物
uniform: 統一
ask: 尋ねる
foreign: 外国人
difference: 差
travel: 旅行
hill: 丘
defeat: 敗北
memory: 記憶
aim: 目的
food: フード
choice: 選択
breed: 繁殖
thank: 感謝
afterwards: その後
warmth: 暖かさ
serve: サーブ
these: これら
cover: カバー
answer: 回答
give: 与える
thought: 思想
pan: パン
forehead: 額
depth: 深さ
cheat: カンニング
golden: ゴールデン
behave: 行動する
operate: 操作する
ours: 私たちのもの
appear: 現れる
bread: パン
spade: スペード
him: 彼
worthy: 価値がある
plural: 複数
large: 大
world: 世界
base: ベース
official: 公式
student: 学生
bring: 持参する
river: 川
scissors: はさみ
beer: ビール
happen: 起こる
brain: 脳
most: 最も
lip: リップ
frame: フレーム
village: 村
purple: 紫の
shut: シャット
permit: 許可
patient: 患者
shade: シェード
ring: リング
flour: 小麦粉
summer: 夏
spell: スペル
explanation: 説明
cent: セント
basket: バスケット
patience: 忍耐
rid: 除去する
lawyer: 弁護士
butter: バター
provide: 提供する
argument: 引数
prison: 刑務所
eager: 熱心な
precious: 貴重な
reasonable: 合理的な
suppose: 想定する
fish: 魚
wool: ウール
handle: ハンドル
atom: 原子
tomorrow: 明日
except: を除いて
talk: トーク
needle: 針
monthly: 毎月
universe: 宇宙
famous: 有名な
hunger: 飢え
pride: 誇り
sideways: 横に
library: としょうかん
while: while
secret: 秘密
photograph: 写真
before: 前
quarrel: 喧嘩
breast: 乳
hopeful: 希望
book: 本
ordinary: 普通の
medicine: 医学
kingdom: 王国
aside: 脇に
express: 表現する
worthy of: 〜の価値がある
relation: 関係
voice: 音声
computer: コンピューター
tobacco: タバコ
elect: 選ぶ
childhood: 子供時代
clear: クリア
anxiety: 不安
regular: 定期的
mother: 母
feather: フェザー
acceptable: 許容可能な
sheep: 羊
organ: 器官
bake: 焼く
sex: セックス
dish: 皿
poison: 毒
greeting: 挨拶
pure: ピュア
lord: 主
such: そのような
soon: すぐに
politician: 政治家
command: コマンド
nut: ナット
prove: 証明する
balance: バランス
page: ページ
fashion: ファッション
far: 遠い
path: パス
say: いう
fame: 名声
mail: 郵便物
delight: 喜び
oneself: 自分
grace: 猶予
tool: ツール
game: ゲーム
surround: 囲む
temper: 気性
judgment: 判定
tube: チューブ
advertisement: 広告
confident: 自信を持って
taste: 味
press: 押す
escape: エスケープ
lay: 寝る
office: 事務所
sister: シスター
ninth: 第九
process: プロセス
just: ちょうど
cure: 治す
murder: 殺人
north: 北
bucket: バケツ
draw: ドロー
remind: 思い出させる
cross: クロス
which: どの
thread: 糸
because: なぜなら
plastic: プラスチック
addition: 添加
acid: 酸
universal: ユニバーサル
republic: 共和国
swear: 誓う
pepper: コショウ
trust: 信頼
trade: トレード
poem: 詩
exist: 存在する
vary: 変化する
noble: ノーブル
know: 知っている
citizen: 市民
electricity: 電気
simple: 単純
trousers: ズボン
yearly: 毎年
slave: スレーブ
mystery: 神秘
absence: 不在
empty: 空の
relative: 相対
tower: タワー
bean: 豆
behind: 後ろに
employer: 雇用者
as: として
cruel: 残酷な
fort: 砦
conscious: 意識的な
should: 〜すべき
solemn: 厳粛な
elbow: 肘
wheel: ホイール
private: プライベート
pleasure: 喜び
busy: 忙しい
chairperson: 議長
chalk: チョーク
brother: 兄
stick: スティック
red: 赤
admit: 認める
moment: 瞬間
lazy: 怠惰な
occasion: 機会
rock: 岩
bury: 埋め込む
shop: ショップ
door: ドア
hen: 鶏
long: 長いです
science: 科学
kneel: ひざまずく
telephone: 電話
sew: 縫う
until: 〜まで
courage: 勇気
weather: 天気
shelter: シェルター
hut: 小屋
inner: インナー
put: 置く
